年月底,消費者貸款小  計,購置住宅   貸款,房屋修繕   貸款,汽車貸款,機關團體職工福利貸款,其他個人消費性貸款,信用卡循環信用餘額,建築貸款
9903,"  6,589,015 ","  4,867,017 ","  734,798 ","  54,081 ","  76,591 ","  672,056 ","  184,472 ","  1,039,413 "
9904,"  6,607,645 ","  4,895,576 ","  723,278 ","  54,119 ","  75,276 ","  678,884 ","  180,512 ","  1,052,894 "
9905,"  6,637,911 ","  4,929,467 ","  717,162 ","  54,015 ","  74,232 ","  684,695 ","  178,340 ","  1,057,548 "
9906,"  6,653,412 ","  4,955,960 ","  709,596 ","  54,451 ","  73,423 ","  683,581 ","  176,401 ","  1,079,696 "
9907,"  6,667,407 ","  4,984,684 ","  698,417 ","  55,470 ","  72,439 ","  682,198 ","  174,199 ","  1,099,781 "
9908,"  6,662,105 ","  4,996,342 ","  686,172 ","  55,738 ","  71,483 ","  681,253 ","  171,117 ","  1,120,454 "
9909,"  6,662,828 ","  5,010,390 ","  674,791 ","  56,872 ","  70,697 ","  680,456 ","  169,622 ","  1,154,549 "
9910,"  6,673,244 ","  5,033,042 ","  664,098 ","  58,101 ","  70,148 ","  680,353 ","  167,502 ","  1,164,747 "
9911,"  6,695,687 ","  5,060,684 ","  653,141 ","  59,252 ","  69,581 ","  688,255 ","  164,774 ","  1,181,953 "
9912,"  6,717,051 ","  5,109,256 ","  613,299 ","  58,876 ","  69,997 ","  703,467 ","  162,156 ","  1,237,779 "
10001,"  6,716,871 ","  5,138,597 ","  600,054 ","  61,670 ","  69,160 ","  688,562 ","  158,828 ","  1,259,098 "
10002,"  6,694,448 ","  5,133,940 ","  589,183 ","  61,368 ","  67,856 ","  684,225 ","  157,876 ","  1,270,638 "
10003,"  6,703,832 ","  5,167,940 ","  574,930 ","  62,478 ","  67,202 ","  677,497 ","  153,785 ","  1,286,753 "
10004,"  6,723,059 ","  5,189,654 ","  565,949 ","  63,767 ","  67,008 ","  684,814 ","  151,867 ","  1,288,663 "
10005,"  6,734,811 ","  5,204,803 ","  554,229 ","  64,678 ","  66,768 ","  697,997 ","  146,336 ","  1,298,854 "
10006,"  6,738,745 ","  5,215,561 ","  542,069 ","  65,978 ","  66,849 ","  703,543 ","  144,745 ","  1,305,607 "
10007,"  6,746,197 ","  5,228,874 ","  532,224 ","  67,394 ","  67,574 ","  706,382 ","  143,749 ","  1,304,212 "
10008,"  6,747,201 ","  5,232,813 ","  522,534 ","  68,758 ","  67,652 ","  711,198 ","  144,246 ","  1,322,651 "
10009,"  6,750,830 ","  5,245,363 ","  512,186 ","  69,791 ","  67,658 ","  714,231 ","  141,601 ","  1,335,876 "
10010,"  6,752,299 ","  5,250,368 ","  502,428 ","  70,635 ","  67,483 ","  720,772 ","  140,613 ","  1,336,006 "
10011,"  6,760,153 ","  5,253,308 ","  493,221 ","  70,948 ","  67,148 ","  735,530 ","  139,998 ","  1,343,561 "
10012,"  6,780,695 ","  5,274,015 ","  482,918 ","  73,037 ","  67,036 ","  743,266 ","  140,423 ","  1,367,488 "
10101,"  6,744,378 ","  5,257,667 ","  471,787 ","  74,090 ","  65,852 ","  735,418 ","  139,564 ","  1,388,397 "
10102,"  6,716,310 ","  5,244,341 ","  463,334 ","  73,971 ","  64,733 ","  733,676 ","  136,255 ","  1,399,744 "
10103,"  6,713,634 ","  5,250,654 ","  453,937 ","  75,396 ","  64,110 ","  734,715 ","  134,822 ","  1,404,131 "
10104,"  6,728,257 ","  5,267,510 ","  444,366 ","  76,026 ","  63,708 ","  742,525 ","  134,122 ","  1,404,979 "
10105,"  6,751,687 ","  5,290,918 ","  434,386 ","  76,633 ","  63,622 ","  752,854 ","  133,274 ","  1,419,785 "
10106,"  6,777,043 ","  5,319,714 ","  426,022 ","  77,506 ","  63,521 ","  756,529 ","  133,751 ","  1,455,630 "
10107,"  6,798,621 ","  5,350,711 ","  417,040 ","  78,999 ","  63,179 ","  756,204 ","  132,488 ","  1,459,706 "
10108,"  6,805,642 ","  5,365,315 ","  408,799 ","  80,507 ","  62,902 ","  755,704 ","  132,415 ","  1,462,423 "
10109,"  6,810,416 ","  5,373,751 ","  401,852 ","  82,085 ","  64,362 ","  756,109 ","  132,257 ","  1,462,538 "
10110,"  6,812,762 ","  5,385,210 ","  394,216 ","  82,808 ","  63,587 ","  755,646 ","  131,295 ","  1,459,746 "
10111,"  6,831,520 ","  5,403,458 ","  386,954 ","  83,480 ","  63,040 ","  763,873 ","  130,715 ","  1,463,083 "
10112,"  6,844,124 ","  5,420,331 ","  380,459 ","  84,787 ","  62,936 ","  764,824 ","  130,787 ","  1,467,735 "
10201,"  6,846,267 ","  5,442,934 ","  370,849 ","  88,608 ","  62,167 ","  752,610 ","  129,099 ","  1,451,950 "
10202,"  6,818,992 ","  5,429,274 ","  364,928 ","  88,718 ","  61,065 ","  748,789 ","  126,218 ","  1,451,675 "
10203,"  6,811,191 ","  5,430,781 ","  357,430 ","  89,729 ","  60,280 ","  748,781 ","  124,190 ","  1,452,136 "
10204,"  6,817,257 ","  5,443,739 ","  350,608 ","  90,902 ","  59,672 ","  750,098 ","  122,238 ","  1,455,140 "
10205,"  6,838,268 ","  5,464,223 ","  342,673 ","  92,750 ","  59,329 ","  758,351 ","  120,942 ","  1,462,149 "
10206,"  6,859,178 ","  5,484,047 ","  336,317 ","  94,585 ","  58,931 ","  763,629 ","  121,669 ","  1,473,257 "
10207,"  6,873,779 ","  5,506,914 ","  328,841 ","  96,691 ","  58,583 ","  763,324 ","  119,426 ","  1,481,464 "
10208,"  6,879,574 ","  5,519,431 ","  321,621 ","  97,742 ","  58,255 ","  763,333 ","  119,192 ","  1,477,922 "
10209,"  6,903,073 ","  5,545,912 ","  315,952 ","  98,980 ","  57,607 ","  764,905 ","  119,717 ","  1,484,497 "
10210,"  6,920,731 ","  5,565,525 ","  309,908 ","  100,487 ","  57,131 ","  768,271 ","  119,409 ","  1,496,147 "
10211,"  6,954,671 ","  5,599,203 ","  304,304 ","  102,417 ","  56,461 ","  773,971 ","  118,315 ","  1,497,936 "
10212,"  7,005,972 ","  5,646,766 ","  298,032 ","  104,367 ","  56,253 ","  782,830 ","  117,724 ","  1,494,623 "
10301,"  7,021,776 ","  5,668,653 ","  291,864 ","  107,338 ","  55,783 ","  780,596 ","  117,542 ","  1,508,727 "
10302,"  7,006,831 ","  5,664,985 ","  287,036 ","  106,932 ","  54,813 ","  776,562 ","  116,503 ","  1,520,188 "
10303,"  7,012,970 ","  5,678,845 ","  281,173 ","  107,617 ","  54,112 ","  777,113 ","  114,110 ","  1,538,785 "
10304,"  7,038,370 ","  5,700,961 ","  275,873 ","  108,882 ","  53,574 ","  785,942 ","  113,138 ","  1,543,845 "
10305,"  7,066,499 ","  5,725,398 ","  270,771 ","  110,945 ","  53,106 ","  793,997 ","  112,282 ","  1,553,815 "
10306,"  7,088,734 ","  5,750,655 ","  265,891 ","  112,675 ","  52,495 ","  792,846 ","  114,172 ","  1,567,362 "
10307,"  7,111,786 ","  5,778,242 ","  260,768 ","  113,671 ","  51,964 ","  794,231 ","  112,910 ","  1,570,189 "
10308,"  7,125,449 ","  5,792,556 ","  256,273 ","  114,032 ","  51,781 ","  797,035 ","  113,772 ","  1,587,998 "
10309,"  7,136,393 ","  5,807,074 ","  251,708 ","  115,534 ","  50,850 ","  798,306 ","  112,921 ","  1,601,849 "
10310,"  7,144,161 ","  5,817,134 ","  247,416 ","  115,738 ","  50,339 ","  800,786 ","  112,748 ","  1,610,173 "
10311,"  7,170,793 ","  5,840,807 ","  243,342 ","  115,816 ","  49,848 ","  808,465 ","  112,515 ","  1,614,555 "
10312,"  7,202,656 ","  5,866,996 ","  238,749 ","  116,803 ","  49,502 ","  818,407 ","  112,199 ","  1,624,087 "
10401,"  7,203,228 ","  5,872,739 ","  234,448 ","  117,840 ","  49,157 ","  817,134 ","  111,910 ","  1,617,117 "
10402,"  7,193,313 ","  5,872,563 ","  230,916 ","  117,351 ","  48,390 ","  812,919 ","  111,174 ","  1,621,351 "
10403,"  7,190,065 ","  5,879,500 ","  226,175 ","  116,483 ","  48,672 ","  811,351 ","  107,884 ","  1,639,051 "
10404,"  7,204,515 ","  5,892,739 ","  222,262 ","  116,367 ","  48,267 ","  817,428 ","  107,452 ","  1,638,945 "
10405,"  7,223,902 ","  5,908,784 ","  217,945 ","  116,045 ","  47,967 ","  825,680 ","  107,481 ","  1,649,953 "
10406,"  7,241,255 ","  5,926,706 ","  213,327 ","  116,392 ","  47,661 ","  829,088 ","  108,081 ","  1,660,282 "
10407,"  7,260,892 ","  5,948,789 ","  208,396 ","  117,526 ","  47,850 ","  830,452 ","  107,879 ","  1,653,292 "
10408,"  7,271,400 ","  5,962,440 ","  203,723 ","  116,884 ","  48,009 ","  832,800 ","  107,544 ","  1,655,638 "
10409,"  7,283,543 ","  5,977,626 ","  198,861 ","  116,948 ","  48,056 ","  835,088 ","  106,964 ","  1,657,466 "
10410,"  7,302,773 ","  5,998,205 ","  194,282 ","  117,124 ","  47,931 ","  837,247 ","  107,984 ","  1,650,935 "
10411,"  7,336,784 ","  6,027,726 ","  189,329 ","  117,468 ","  47,843 ","  847,135 ","  107,283 ","  1,646,334 "
10412,"  7,448,962 ","  6,132,276 ","  184,040 ","  118,970 ","  48,413 ","  857,951 ","  107,312 ","  1,608,126 "
10501,"  7,446,448 ","  6,137,015 ","  179,361 ","  120,472 ","  48,432 ","  854,013 ","  107,155 ","  1,606,517 "
10502,"  7,422,006 ","  6,124,105 ","  175,137 ","  119,689 ","  47,845 ","  849,215 ","  106,015 ","  1,610,541 "
10503,"  7,412,449 ","  6,123,253 ","  169,400 ","  119,750 ","  47,571 ","  848,384 ","  104,091 ","  1,624,933 "
10504,"  7,430,427 ","  6,139,075 ","  165,311 ","  120,392 ","  47,523 ","  853,791 ","  104,335 ","  1,621,121 "
10505,"  7,460,067 ","  6,167,246 ","  160,936 ","  120,755 ","  47,653 ","  859,776 ","  103,701 ","  1,616,107 "
10506,"  7,492,180 ","  6,199,631 ","  156,894 ","  122,034 ","  47,806 ","  860,640 ","  105,175 ","  1,614,249 "
10507,"  7,520,739 ","  6,230,736 ","  153,440 ","  123,440 ","  47,968 ","  858,995 ","  106,160 ","  1,621,932 "
10508,"  7,529,953 ","  6,244,683 ","  149,949 ","  122,663 ","  48,083 ","  858,706 ","  105,869 ","  1,628,779 "
10509,"  7,558,667 ","  6,276,844 ","  147,161 ","  122,785 ","  47,976 ","  857,475 ","  106,426 ","  1,628,073 "
10510,"  7,579,357 ","  6,298,487 ","  144,720 ","  123,173 ","  47,926 ","  857,460 ","  107,591 ","  1,641,010 "
10511,"  7,611,657 ","  6,324,599 ","  142,157 ","  124,385 ","  48,028 ","  865,211 ","  107,277 ","  1,643,563 "
10512,"  7,662,302 ","  6,365,163 ","  139,710 ","  126,623 ","  48,690 ","  873,801 ","  108,315 ","  1,648,346 "
10601,"  7,675,614 ","  6,383,156 ","  137,255 ","  128,790 ","  48,778 ","  869,131 ","  108,504 ","  1,646,105 "
10602,"  7,663,027 ","  6,380,070 ","  135,086 ","  128,245 ","  48,376 ","  864,764 ","  106,486 ","  1,651,753 "
10603,"  7,678,942 ","  6,398,313 ","  132,374 ","  128,024 ","  48,429 ","  865,769 ","  106,033 ","  1,659,162 "
10604,"  7,705,881 ","  6,420,921 ","  130,317 ","  128,201 ","  48,676 ","  871,285 ","  106,481 ","  1,660,574 "
10605,"  7,735,120 ","  6,445,904 ","  128,005 ","  127,801 ","  48,869 ","  878,214 ","  106,327 ","  1,662,880 "
10606,"  7,774,566 ","  6,483,057 ","  125,709 ","  128,510 ","  49,417 ","  880,902 ","  106,971 ","  1,668,833 "
10607,"  7,794,639 ","  6,507,159 ","  123,614 ","  129,081 ","  49,772 ","  878,088 ","  106,925 ","  1,671,824 "
10608,"  7,817,855 ","  6,530,079 ","  121,374 ","  129,492 ","  50,273 ","  878,384 ","  108,253 ","  1,682,645 "
10609,"  7,845,042 ","  6,556,400 ","  119,349 ","  129,868 ","  50,668 ","  879,996 ","  108,761 ","  1,695,435 "
10610,"  7,861,641 ","  6,574,271 ","  117,401 ","  130,255 ","  50,861 ","  879,368 ","  109,485 ","  1,703,302 "
10611,"  7,907,496 ","  6,610,118 ","  115,451 ","  131,319 ","  51,256 ","  889,588 ","  109,764 ","  1,711,375 "
10612,"  7,953,112 ","  6,647,782 ","  113,607 ","  133,107 ","  52,320 ","  896,115 ","  110,181 ","  1,738,404 "
10701,"  7,978,871 ","  6,673,401 ","  111,338 ","  133,921 ","  52,983 ","  895,962 ","  111,266 ","  1,728,234 "
10702,"  7,975,963 ","  6,677,633 ","  109,706 ","  134,146 ","  52,752 ","  891,443 ","  110,283 ","  1,726,934 "
10703,"  7,995,158 ","  6,699,705 ","  107,483 ","  134,282 ","  52,914 ","  892,730 ","  108,044 ","  1,733,515 "
10704,"  8,015,687 ","  6,718,428 ","  105,610 ","  134,526 ","  53,213 ","  895,720 ","  108,190 ","  1,749,697 "
10705,"  8,056,194 ","  6,751,861 ","  103,713 ","  134,788 ","  53,830 ","  903,719 ","  108,283 ","  1,754,681 "
10706,"  8,093,874 ","  6,784,321 ","  101,975 ","  135,503 ","  54,345 ","  908,537 ","  109,193 ","  1,773,012 "
10707,"  8,121,855 ","  6,817,570 ","  100,037 ","  136,229 ","  54,703 ","  903,689 ","  109,627 ","  1,775,669 "
10708,"  8,144,892 ","  6,836,707 ","  98,277 ","  136,007 ","  54,813 ","  908,503 ","  110,585 ","  1,782,476 "
10709,"  8,175,513 ","  6,870,590 ","  96,685 ","  136,288 ","  54,760 ","  906,243 ","  110,947 ","  1,802,026 "
10710,"  8,211,972 ","  6,905,193 ","  94,829 ","  136,499 ","  54,694 ","  909,053 ","  111,704 ","  1,814,468 "
10711,"  8,260,261 ","  6,941,422 ","  93,174 ","  137,500 ","  54,738 ","  921,839 ","  111,588 ","  1,832,060 "
10712,"  8,304,378 ","  6,977,419 ","  91,739 ","  140,499 ","  55,317 ","  926,517 ","  112,887 ","  1,858,113 "
10801,"  8,317,160 ","  6,994,825 ","  89,776 ","  141,574 ","  55,285 ","  922,969 ","  112,731 ","  1,866,557 "
10802,"  8,316,354 ","  7,003,926 ","  88,392 ","  140,333 ","  54,532 ","  918,572 ","  110,599 ","  1,864,335 "
10803,"  8,334,915 ","  7,025,838 ","  86,771 ","  140,033 ","  54,239 ","  918,872 ","  109,162 ","  1,886,341 "
10804,"  8,368,182 ","  7,056,335 ","  85,190 ","  140,044 ","  53,968 ","  924,321 ","  108,324 ","  1,907,410 "
10805,"  8,421,286 ","  7,100,128 ","  83,656 ","  140,785 ","  53,676 ","  934,106 ","  108,935 ","  1,924,464 "
10806,"  8,469,073 ","  7,143,222 ","  82,244 ","  142,249 ","  53,470 ","  938,174 ","  109,714 ","  1,953,178 "
10807,"  8,527,764 ","  7,199,256 ","  80,667 ","  144,112 ","  53,270 ","  939,858 ","  110,601 ","  1,965,246 "
10808,"  8,548,417 ","  7,219,483 ","  79,171 ","  144,107 ","  52,979 ","  942,037 ","  110,640 ","  1,985,674 "
10809,"  8,588,761 ","  7,256,032 ","  77,946 ","  144,818 ","  52,568 ","  943,962 ","  113,435 ","  2,001,068 "
10810,"  8,643,048 ","  7,306,910 ","  76,654 ","  145,610 ","  52,265 ","  949,048 ","  112,561 ","  2,036,732 "
10811,"  8,703,092 ","  7,356,081 ","  75,434 ","  147,421 ","  52,123 ","  959,823 ","  112,210 ","  2,061,770 "
10812,"  8,773,371 ","  7,412,548 ","  74,119 ","  150,513 ","  52,675 ","  970,446 ","  113,070 ","  2,094,370 "
10901,"  8,781,893 ","  7,425,175 ","  72,886 ","  151,661 ","  52,415 ","  967,208 ","  112,548 ","  2,104,306 "
10902,"  8,812,299 ","  7,455,838 ","  71,735 ","  152,404 ","  52,067 ","  970,237 ","  110,018 ","  2,127,942 "
10903,"  8,861,643 ","  7,494,135 ","  70,500 ","  153,669 ","  52,325 ","  982,266 ","  108,748 ","  2,155,961 "
10904,"  8,910,131 ","  7,531,286 ","  69,370 ","  154,232 ","  53,819 ","  994,019 ","  107,405 ","  2,179,008 "
10905,"  9,001,857 ","  7,568,383 ","  68,270 ","  155,119 ","  54,179 ","  1,050,690 ","  105,216 ","  2,208,769 "
10906,"  9,075,675 ","  7,613,848 ","  67,158 ","  156,750 ","  54,498 ","  1,082,441 ","  100,980 ","  2,246,172 "
10907,"  9,136,229 ","  7,670,086 ","  66,243 ","  159,211 ","  54,655 ","  1,084,388 ","  101,646 ","  2,268,841 "
10908,"  9,207,278 ","  7,737,736 ","  65,373 ","  160,484 ","  54,454 ","  1,086,578 ","  102,653 ","  2,293,294 "
10909,"  9,288,860 ","  7,811,290 ","  64,503 ","  162,826 ","  54,325 ","  1,092,914 ","  103,002 ","  2,323,405 "
10910,"  9,358,307 ","  7,876,884 ","  63,671 ","  164,244 ","  54,014 ","  1,095,633 ","  103,861 ","  2,365,151 "
10911,"  9,449,602 ","  7,949,340 ","  63,035 ","  166,809 ","  53,805 ","  1,112,649 ","  103,964 ","  2,410,191 "
10912,"  9,559,212 ","  8,042,296 ","  62,182 ","  170,287 ","  54,563 ","  1,124,998 ","  104,886 ","  2,461,246 "
11001,"  9,624,013 ","  8,105,757 ","  61,392 ","  172,596 ","  54,664 ","  1,124,109 ","  105,495 ","  2,497,809 "
11002,"  9,641,825 ","  8,131,946 ","  60,699 ","  172,964 ","  54,214 ","  1,118,596 ","  103,406 ","  2,514,794 "
11003,"  9,696,796 ","  8,187,509 ","  59,728 ","  173,730 ","  54,018 ","  1,119,888 ","  101,923 ","  2,539,403 "
11004,"  9,764,116 ","  8,247,293 ","  59,049 ","  174,485 ","  53,869 ","  1,127,120 ","  102,300 ","  2,559,176 "
11005,"  9,849,117 ","  8,324,555 ","  58,313 ","  175,368 ","  54,104 ","  1,134,742 ","  102,035 ","  2,582,035 "
11006,"  9,976,004 ","  8,406,898 ","  57,711 ","  174,502 ","  53,764 ","  1,181,727 ","  101,402 ","  2,620,935 "
11007,"  10,028,772 ","  8,452,189 ","  57,075 ","  174,864 ","  53,669 ","  1,192,933 ","  98,042 ","  2,656,000 "
11008,"  10,062,312 ","  8,483,391 ","  56,620 ","  175,436 ","  53,652 ","  1,195,729 ","  97,484 ","  2,682,617 "
11009,"  10,127,030 ","  8,544,347 ","  56,115 ","  176,801 ","  53,342 ","  1,197,882 ","  98,543 ","  2,701,827 "
11010,"  10,205,291 ","  8,614,600 ","  55,656 ","  178,026 ","  52,975 ","  1,204,586 ","  99,448 ","  2,725,781 "
11011,"  10,300,126 ","  8,699,427 ","  55,063 ","  179,400 ","  52,614 ","  1,214,616 ","  99,006 ","  2,753,666 "
11012,"  10,419,858 ","  8,803,024 ","  54,544 ","  181,002 ","  53,189 ","  1,227,705 ","  100,394 ","  2,808,431 "
11101,"  10,492,518 ","  8,869,298 ","  53,885 ","  182,713 ","  53,150 ","  1,232,757 ","  100,715 ","  2,832,680 "
11102,"  10,512,032 ","  8,895,587 ","  53,340 ","  182,312 ","  52,506 ","  1,229,485 ","  98,802 ","  2,856,619 "
11103,"  10,581,556 ","  8,961,316 ","  52,659 ","  183,192 ","  52,148 ","  1,234,470 ","  97,771 ","  2,885,684 "
11104,"  10,653,019 ","  9,021,752 ","  52,086 ","  183,877 ","  51,960 ","  1,245,693 ","  97,651 ","  2,899,608 "
11105,"  10,728,030 ","  9,090,648 ","  51,492 ","  184,179 ","  51,379 ","  1,252,870 ","  97,462 ","  2,925,680 "
11106,"  10,783,055 ","  9,140,607 ","  50,873 ","  184,691 ","  50,806 ","  1,257,425 ","  98,653 ","  2,958,045 "
11107,"  10,830,336 ","  9,182,490 ","  50,207 ","  185,466 ","  50,181 ","  1,262,402 ","  99,590 ","  2,988,731 "
11108,"  10,857,472 ","  9,207,541 ","  49,464 ","  187,143 ","  49,377 ","  1,263,730 ","  100,217 ","  3,004,608 "
11109,"  10,896,310 ","  9,242,675 ","  48,878 ","  187,961 ","  48,503 ","  1,267,033 ","  101,260 ","  3,027,250 "
11110,"  10,927,646 ","  9,269,381 ","  48,419 ","  188,486 ","  47,661 ","  1,271,626 ","  102,073 ","  3,057,827 "
11111,"  10,991,298 ","  9,320,427 ","  47,814 ","  191,225 ","  46,925 ","  1,282,345 ","  102,562 ","  3,083,842 "
11112,"  11,062,053 ","  9,377,342 ","  47,301 ","  193,946 ","  46,109 ","  1,292,839 ","  104,516 ","  3,097,898 "
11201,"  11,039,989 ","  9,366,454 ","  46,785 ","  193,921 ","  44,942 ","  1,284,584 ","  103,303 ","  3,121,254 "
11202,"  11,059,372 ","  9,388,074 ","  46,318 ","  196,379 ","  44,061 ","  1,283,110 ","  101,430 ","  3,139,628 "
11203,"  11,087,211 ","  9,414,921 ","  45,773 ","  197,901 ","  43,126 ","  1,283,617 ","  101,873 ","  3,150,306 "
11204,"  11,125,382 ","  9,447,995 ","  45,253 ","  199,750 ","  42,385 ","  1,287,182 ","  102,817 ","  3,172,230 "
11205,"  11,190,353 ","  9,503,181 ","  44,698 ","  203,173 ","  41,680 ","  1,295,740 ","  101,881 ","  3,187,768 "
11206,"  11,262,173 ","  9,563,803 ","  44,100 ","  206,414 ","  40,985 ","  1,303,408 ","  103,463 ","  3,206,059 "
11207,"  11,310,009 ","  9,616,422 ","  43,448 ","  208,230 ","  40,324 ","  1,296,997 ","  104,588 ","  3,213,544 "
11208,"  11,368,535 ","  9,681,434 ","  42,773 ","  210,083 ","  39,689 ","  1,292,648 ","  101,908 ","  3,226,426 "
11209,"  11,450,441 ","  9,760,782 ","  42,277 ","  212,486 ","  39,202 ","  1,292,445 ","  103,249 ","  3,234,917 "
11210,"  11,535,950 ","  9,839,783 ","  41,693 ","  213,740 ","  38,556 ","  1,298,736 ","  103,442 ","  3,235,893 "
11211,"  11,644,428 ","  9,932,141 ","  41,132 ","  216,319 ","  38,147 ","  1,313,217 ","  103,472 ","  3,235,052 "
11212,"  11,767,099 ","  10,037,686 ","  40,576 ","  219,480 ","  38,312 ","  1,325,831 ","  105,214 ","  3,225,760 "
11301,"  11,848,198 ","  10,113,979 ","  39,896 ","  221,987 ","  37,883 ","  1,328,899 ","  105,554 ","  3,239,746 "
11302,"  11,863,661 ","  10,137,597 ","  39,307 ","  222,300 ","  37,186 ","  1,324,472 ","  102,799 ","  3,254,629 "
